ID,Nombre,Equipo,Puntaje,Competencias
14770,xljiqv,G2 Esports,53,2
24599,wzao,Hanwha Life Esports,25,9
12670,ljhpvycm,Immortals,45,43
39889,zfjlgslb,Immortals,61,14
26643,ugx,Rogue,12,29
36790,jihptmbq,Rogue,53,12
42828,ouyatm,Cloud9,88,2
38995,rbls,T1,79,37
11127,rxnne,Hanwha Life Esports,19,37
10801,czkoqmz,Damwon Gaming,95,33
11569,jamg,MAD Lions,33,28
34187,fha,Cloud9,93,26
17419,mtpmzv,Gen.G,1,24
17549,fte,Damwon Gaming,13,29
36436,nxsfwhgs,FlyQuest,21,10
43052,tvfic,Fnatic,46,34
33831,zkvxkrbp,100 Thieves,20,39
45110,pchky,Damwon Gaming,74,37
5826,mklqsh,100 Thieves,3,7
9946,jkszm,Damwon Gaming,98,3
16738,kyuxp,100 Thieves,69,39
8522,cdnr,Rogue,80,6
36330,swbtya,MAD Lions,8,31
27844,axbdin,MAD Lions,68,30
42794,tbgw,Gen.G,9,37
42778,jmgnjc,Damwon Gaming,42,5
8147,jcjiz,Damwon Gaming,4,24
6881,omtwyn,Sentinels,68,45
23913,mecp,Hanwha Life Esports,57,32
45883,decpftdz,Cloud9,95,6
3892,arikpcug,FlyQuest,100,28
22871,xzet,Rogue,54,13
29447,jgtjz,MAD Lions,64,20
19244,malqcfz,Hanwha Life Esports,15,23
22171,dqzf,T1,71,21
44415,mezdjq,Sentinels,57,37
38598,nvnaq,MAD Lions,8,16
43363,msdin,Rogue,96,24
16897,yhl,Damwon Gaming,15,26
43620,zlg,G2 Esports,76,43
42222,lrpozu,Sentinels,73,16
45588,rhk,G2 Esports,19,8
5306,amhiqfo,FlyQuest,30,6
16896,ntkh,100 Thieves,0,42
31312,rcwp,Fnatic,38,16
2076,xhyotlrx,MAD Lions,60,4
4979,jswl,Damwon Gaming,41,1
28733,ljeh,G2 Esports,22,11
34389,dbtqff,Cloud9,32,30
49804,otfhxw,G2 Esports,53,40
35864,lfbhbf,Hanwha Life Esports,7,36
30033,jfblkq,Cloud9,51,12
34942,ywyvv,Sentinels,27,19
24115,eosxk,Rogue,64,18
12145,vibepuo,G2 Esports,12,43
22768,iwlmsta,FlyQuest,57,19
45921,lwmjaggv,MAD Lions,23,22
12682,fej,MAD Lions,96,42
29073,vyvupmzn,MAD Lions,13,26
30834,lem,Immortals,48,21
21280,tqd,T1,58,16
20852,aqbil,Gen.G,81,35
36756,thejymn,MAD Lions,97,33
4015,vwxpu,Gen.G,91,5
47601,qfealwe,Gen.G,13,8
47413,wauogpp,Damwon Gaming,17,41
27657,rtidlapc,Immortals,47,28
28561,cvfgvsv,Hanwha Life Esports,63,28
36908,gtjx,Damwon Gaming,82,5
1864,fudatjsp,FlyQuest,49,35
2424,zktfyb,Hanwha Life Esports,41,11
30454,iig,Gen.G,59,21
35536,rqq,Fnatic,41,41
45341,kcqwxf,Sentinels,87,36
40323,cpnhzigt,Rogue,21,44
594,vjin,Fnatic,56,35
6863,hfqqvk,G2 Esports,75,28
49567,mpaci,T1,65,27
4967,jrvjwfkl,Hanwha Life Esports,26,8
5485,lojcq,FlyQuest,90,7
19616,kgfug,T1,91,20
8711,hgr,Gen.G,29,33
26952,vmh,Fnatic,32,28
47080,iubs,Fnatic,43,27
35859,fexechgp,G2 Esports,11,11
27535,ibspgmmf,Gen.G,1,18
22116,omzt,T1,44,14
18058,efstbqsh,Gen.G,36,28
36629,btrnyxxn,Rogue,90,5
15826,omzqpybn,T1,89,36
18738,utwnqft,Cloud9,94,24
17130,msncy,Gen.G,89,6
38506,zfq,MAD Lions,27,15
32131,svvgqyom,Gen.G,90,44
14757,itjufx,Damwon Gaming,98,6
26950,urfhk,Hanwha Life Esports,49,1
24858,ycx,T1,80,15
42455,dvp,T1,28,18
18248,bgu,Hanwha Life Esports,45,1
43699,byfg,Sentinels,79,45
24402,yiktxwy,T1,50,20
17197,qkcmpx,Rogue,32,13
16644,rnefcpiz,G2 Esports,49,26
44530,pjil,G2 Esports,31,22
48427,tbqrp,Cloud9,19,44
42758,grmtoyy,Damwon Gaming,23,19
21816,tgwosn,Rogue,69,38
399,pqwomi,Rogue,36,6
42025,zgwddxyv,G2 Esports,95,26
15479,sryyokxn,Damwon Gaming,57,3
10899,fvisx,MAD Lions,27,44
28886,cvbe,G2 Esports,2,23
38967,zcizb,Cloud9,76,44
45206,uknq,Hanwha Life Esports,57,21
15100,zdyaqpzy,Fnatic,80,12
24272,ozlwf,Sentinels,76,44
16944,dmn,Rogue,20,5
7367,btm,Gen.G,44,42
8551,guarur,G2 Esports,7,6
10347,kyvw,Gen.G,9,9
38696,oaa,Hanwha Life Esports,72,23
972,huo,Sentinels,65,10
6642,hhdz,Cloud9,70,32
44315,nwxhx,Hanwha Life Esports,3,40
39831,frcyfjtz,Sentinels,6,23
1253,yhsvm,Sentinels,91,41
36292,niscgsw,Fnatic,19,31
25633,wnzdkabm,Gen.G,45,41
13082,ootsfg,G2 Esports,99,26
45796,kynb,MAD Lions,35,7
32127,xalgtjk,Hanwha Life Esports,17,3
36582,gpl,Damwon Gaming,7,42
24428,meu,Gen.G,8,15
5574,dbezhk,100 Thieves,45,8
7480,hofe,Gen.G,59,38
5140,ogevb,Damwon Gaming,83,15
38611,yxld,Gen.G,81,18
30749,hytwit,Rogue,77,42
49989,clftq,Hanwha Life Esports,63,9
43449,fmyf,Damwon Gaming,51,19
49876,olzw,Gen.G,45,41
15229,dfefyj,Immortals,89,6
43893,lkypok,Damwon Gaming,69,36
19879,dqrswe,Cloud9,39,17
5082,ymjrbjld,100 Thieves,35,21
28208,vcmlzdmf,Immortals,99,11
15258,lvnkd,Cloud9,61,31
